term,aliases,type,source,code
epigastric tenderness,abdominal tenderness,Finding,manual,
peripancreatic fat stranding,peripancreatic stranding,Finding,manual,
pancreatic pseudocyst,pseudocyst of pancreas,Finding,manual,
solid mass,solid lesion,Finding,manual,
gastric outlet obstruction,,Finding,manual,
pleural effusion,,Finding,manual,
atrial mass,cardiac mass,Finding,manual,
