term,aliases,type,source,code
hydroxychloroquine,,Treatment,manual,
alectinib,,Treatment,manual,
brigatinib,,Treatment,manual,
diltiazem,,Treatment,manual,
methylprednisolone,,Treatment,manual,
vedolizumab,,Treatment,manual,
ketamine,,Treatment,manual,
dexmedetomidine,,Treatment,manual,
triheptanoin,,Treatment,manual,
